id,url
2(X)IST,https://www.2xist.com/
Abella Eyewear,https://abellaeyewear.com/
AC Lens,https://www.aclens.com
Acne Studios,http://www.acnestudios.com/
Adore Me,http://www.adoreme.com
AE77 Denim,http://www.AE77denim.com
Aerosoles,http://www.Aerosoles.com
AETHER Apparel,https://www.aetherapparel.com/
aeyde.com,http://www.aeyde.com
AG Jeans,http://www.agjeans.com/
AG Jeans Outlet,http://www.agjeansoutlet.com
Alexis Bittar,https://www.alexisbittar.com
Alloy Apparel,http://www.alloyapparel.com
Amanda Uprichard,https://amandauprichard.com/
American Eagle Outfitters,http://www.ae.com/web/index.jsp
Amiclubwear,http://www.amiclubwear.com
Antonioli,https://www.antonioli.eu
Apex Foot,http://www.apexfoot.com
Apolla Performance,https://www.apollaperformance.com/
Appearanz,https://www.uniwigs.com/
Aquatalia,http://www.Aquatalia.com
Arc'teryx,http://arcteryx.com
ashford,http://www.ashford.com
Ashley Stewart,https://www.ashleystewart.com
ASKET,https://asket.com/
Aspesi EU,https://www.aspesi.com/
Atoms Ideal Everyday Shoes,https://atoms.com
ATP Atelier,http://www.atpatelier.com
Avenue,https://www.avenue.com/
Axel Arigato,https://axelarigato.com
Babyonlinewholesale,https://www.babyonlinewholesale.com/
Badinka.com,https://badinka.com/
Bare Necessities,http://www.BareNecessities.com
Barroco,https://barrocoitalia.com/
Bebe,http://www.Bebe.com
behno,http://behno.com
Belk,http://www.belk.com
Bellelily,http://www.bellelily.com/
BeltOutlet.Com,http://www.beltoutlet.com
BHLDN,http://www.bhldn.com
Biffi.com,http://www.biffi.com
Big Star Denim,http://www.bigstardenim.com
Bjorn Borg,http://bjornborg.com
Bjorn Borg US,https://www.bjornborg.com/us/
Blain Farm & Fleet,http://www.farmandfleet.com
BlankNYC,http://www.blanknyc.com
Blissy,http://www.blissy.com
Blue&Cream,http://www.blueandcream.com/
Bob Ore Blue Collection,https://bobore.com/
Bohemian Mama,https://www.bohemianmama.com
Bollman Hat Co.,https://www.hats.com
boohoo.com,http://us.boohoo.com/
boohooMAN,http://www.boohooman.com
Born Shoes,http://www.bornshoes.com/default.aspx?&refurl=cj
Boscov's Department Stores,http://www.boscovs.com
Bosley,https://www.bosleyrx.com/home-ab1/
BoxLunch,http://www.boxlunch.com
Bravado Designs US,https://bravadodesigns.com
Brighton,http://www.brighton.com
Brook and York,https://brookandyork.com/
Brooks Brothers,http://www.brooksbrothers.com
Brooks Running,http://www.BrooksRunning.com
BSTN - US,https://www.bstn.com/us_en
Budapester.com,https://mybudapester.com
BuddyLove,http://buddylove.com
Buffalo David Bitton,https://www.buffalojeans.com
BulbHead,http://www.bulbhead.com/
Bulova,https://www.bulova.com/
Carbon38,http://www.carbon38.com
Carhartt,http://www.carhartt.com
Carol Wright/Dr. Leonard's Healthcare,https://www.carolwright.com/
Carolina Footwear,https://www.carolinashoe.com/
Carolyn Pollack/American West Jewelry,https://carolynpollackjewelry.com
Cashmere Boutique,https://www.cashmereboutique.com
Catherines,http://www.Catherines.com
CBAZAAR-World's Largest Online Indian Ethnic Wear,http://www.cbazaar.com
CDLP / UN CADEAU DE LA PROVIDENCE,https://cdlp.com/
Chadwicks of Boston,https://www.chadwicks.com/
Charles Tyrwhitt,https://www.charlestyrwhitt.com/us
Charming Charlie,http://www.charmingcharlie.com
Chico's,http://www.chicos.com
Chico's Off The Rack,https://www.chicosofftherack.com
Chinese Laundry,http://www.chineselaundry.com
Citizen Watch,http://www.citizenwatch.com
City Chic Online,https://www.citychiconline.com/
CJM_Mezlan,https://www.mezlan.com/
Clean Origin,http://www.cleanorigin.com
Colorful Standard,https://colorfulstandard.com/
Columbia Sportswear,http://www.columbia.com
Conceptar.com,https://conceptar.com/
Converse,http://www.Converse.com
Costa Del Mar,https://www.costadelmar.com/en-us
Costumes.com,http://www.costumes.com
CoutureCandy.com,https://www.couturecandy.com
Craghoppers US,https://www.craghoppers.com/us/
Current/Elliott,https://www.currentelliott.com/
Custom Ink,https://www.customink.com
"Cuts Clothing, Inc.",https://cutsclothing.com/
D'ANIELLO BOUTIQUE,http://www.danielloboutique.it
De Essentia,https://de-essentia.com/
Deiters DE,https://www.deiters.de
Dept Anonym,http://www.deptanonym.com
Design Essentials,https://designessentials.com
DesignAShirt,http://www.designashirt.com
Deux par Deux Childrens Designer Clothing,https://www.deuxpardeux.com/us/
DHGate,http://www.dhgate.com/
Diamonds-USA,http://www.diamonds-usa.com
Dillard's,https://www.dillards.com
DJO Global,https://www.djoglobal.com/
DL1961 Women,http://www.dl1961.com
Dorothee Schumacher - US/CA,https://www.dorothee-schumacher.com/en/us
Dr. Martens,https://www.drmartens.com/us/en/
Druh Belts,https://druhbeltsusa.com
DSquared2,http://www.dsquared2.com
Dulong Fine Jewelry,https://dulongfinejewelry.com/
Easton Affiliate Marketing,https://www.easton.com/
Easy Spirit,http://www.easyspirit.com
Ellos,http://www.Ellos.com
Equipment,http://www.equipmentfr.com/
EricDress.com,http://www.ericdress.com/
Etro Media campaign,https://www.etro.com
Etro US,http://etro.com
Eve's Addiction,https://www.evesaddiction.com/
Ewadara,https://www.ewadara.com/
Express,http://www.express.com
Eyedictive,http://eyedictive.com/
Eyeglasses.com,http://www.eyeglasses.com
FabKids,http://www.fabkids.com
Fabletics - North America,http://www.Fabletics.com
fabric.com,http://www.fabric.com
Fairyseason,http://www.fairyseason.com/
Farfetch Middle East,https://www.farfetch.com
Fashion Fabrics Club,http://www.fashionfabricsclub.com
Fashion to Figure,https://www.fashiontofigure.com/
Fayma,http://www.fayma.com
Few Moda,https://fewmoda.com/
Fila,http://www.fila.com
Filippa K,https://www.filippa-k.com
First Class Watches,https://www.firstclasswatches.co.uk/
Footshop - COM,https://www.footshop.com/en/
Forever 21,http://www.forever21.com
FORZIERI,https://www.forzieri.com
Fossil,https://www.fossil.com/en-us/
Free Country,http://www.freecountry.com
Freebird Stores,https://www.freebirdstores.com
Fruit of the Loom,https://www.fruit.com/
Frye Affiliate Program,https://www.thefryecompany.com/
Furla US,http://www.furla.com
FWRD,http://www.FWRD.com/
G-Star RAW Canada,https://www.g-star.com/en_ca/
G-Star RAW Japan,https://www.g-star.com/ja_jp/
G-Star RAW USA,https://www.g-star.com/en_us/
Gabriel & Co. Fine Jewelry And Bridal,https://www.gabrielny.com/
Gebnegozionline INT,https://www.gebnegozionline.com/
Gentle Herd,http://www.gentleherd.com
Geox US,https://www.geox.com/
Gerber Childrenswear,https://www.gerberchildrenswear.com
GiGi New York / Graphic Image,http://www.giginewyork.com
Glamood Global,http://www.glamood.com/
Golden Concept,https://goldenconcept.com/
Goldenerre,http://www.goldenerre.com
Goldenmine and Jewelry Vortex,https://www.goldenmine.com/
GolfApparelShop.com,https://www.golfapparelshop.com/
Gram Shoes,http://gramshoes.com
"Happy Feet Plus: Shoes, Sandals and Clogs",https://www.HappyFeet.com
Hardtail Forever,http://www.hardtailforever.com
Harry Rosen,https://www.harryrosen.com/en
HATCH Collection,http://www.hatchcollection.com
Hatley,http://www.Hatley.com
HBX,http://www.hbx.com
Heartland America,http://www.heartlandamerica.com
Heidi Daus Designs,https://heididaus.com/
Heidi Wynne,https://heidiwynne.com/
Hip Hop Bling,http://www.HipHopBling.com
Hips & Curves,https://www.hipsandcurves.com/
Hogan US,https://www.hogan.com/
Holabird Sports,http://www.HolabirdSports.com
Horsefeathers Europe,https://www.horsefeathers.eu/
Hot Topic,http://www.hottopic.com
Hudson Jeans,http://www.hudsonjeans.com/
Hurley,http://www.hurley.com
ICEBUG,https://icebug.com/
iCLOTHING,https://www.iclothing.com/
Insta Slim,https://instaslim.com/
Intimates for All,https://www.intimatesforall.com/
Invicta Watches,https://invictastores.com
Ivy + Cloth,https://www.ivyandcloth.com/
J. Jill,http://www.jjill.com
J.Crew Factory,http://factory.jcrew.com
J.Crew US,http://www.jcrew.com
J/SLIDES Footwear,https://jslidesfootwear.com/
Jacadi BE/NL,https://www.jacadi.be
Jacadi DE,https://www.jacadi.de
Jacadi EUROPE,https://www.jacadi.fr/
Jacadi IT,https://www.jacadi.it
Jacadi US,https://www.jacadi.us
Jack1t,https://www.jack1t.com
Jared The Galleria of Jewelry,http://www.jared.com
JCPenney Affiliate,http://www.jcpenney.com/
JD.com,https://www.joybuy.com/
Jenni Kayne,https://www.jennikayne.com/
Jessica London,http://www.JessicaLondon.com
Jessie James Handbags,http://www.jessiejameshandbags.com
Jeulia Jewelry,https://www.jeulia.com/
Jewlr,https://www.jewlr.com/
Jildor Shoes,http://www.jildorshoes.com
Jimmy Jazz,http://www.jimmyjazz.com
"JIMMY LION US, MX, ROW",http://www.jimmylion.com
jockey.com,http://www.jockey.com
Joie Clothing & Accessories for Women,http://www.joie.com/
JoJo Mommy,https://jojomommy.com/
Jomashop.com,http://www.jomashop.com
Jonathan Simkhai,http://www.jonathansimkhai.com
Journeys,http://www.journeys.com
JUICESTORE,https://juicestore.com
Junk Food Clothing,http://www.junkfoodclothing.com
JustFab,http://www.justfab.com
Justice,http://www.shopjustice.com
Kamik.com,https://us.kamik.com
KAPPA USA,https://kappa-usa.com
KarenKane.com,http://www.karenkane.com
Katy Perry Collections,http://www.katyperrycollections.com
Kay Jewelers,http://www.kay.com
Kenneth Cole,http://www.KennethCole.com
Kenny Flowers,https://www.kennyflowers.com
King Size,http://www.KingSize.com
KOIO – INT,https://www.koio.co
Komar Intimates,https://www.komarbrands.com/
Komar Sleepwear,https://www.komarbrands.com/
Komily,https://www.komily.com/
Kork-Ease,https://www.korkease.com/
La Ligne,https://lalignenyc.com
La Portegna,https://en.laportegna.es/
LACAUSA Clothing,https://www.lacausaclothing.com
Lacoste,https://www.lacoste.com/us/
Lafayette 148 NY,https://www.lafayette148ny.com/
Lakeside Collection,http://www.lakeside.com
Lands' End,http://www.landsend.com
Lands' End Business Outfitters,https://business.landsend.com/
Lands' End DE,https://www.landsend.de/
Lands' End UK,http://landsend.co.uk
Lascana,https://www.lascana.com/
Lattelier Store,http://www.lattelierstore.com
LeftLane Sports,http://www.leftlanesports.com
Leo et Violette INT,http://www.leoetviolette.com
Leonisa Intimate Apparel,https://www.leonisa.com
Li Ning Way of Wade,https://www.wayofwade.com/
Life is Good,http://www.lifeisgood.com
Lightbox Jewelry,http://www.lightboxjewelry.com
LightInTheBox,http://www.lightinthebox.com
LIT Activewear,http://www.litactivewear.com
LocalFlavor.com,http://www.localflavor.com
Lord & Taylor,https://lordandtaylor.com/
LovelyWholesale,http://m.lovelywholesale.com/?tname=curve_plus
LTD Commodities,http://www.ltdcommodities.com
Luca Faloni,https://lucafaloni.com/
Lugz Footwear,http://www.lugz.com
LUISAVIAROMA.COM,http://www.luisaviaroma.com/
Maaji,https://www.maaji.co/
Maceoo Global,http://Maceoo.com
Mackage / SOIA & KYO,http://www.appgroup.ca/
Madaluxe Vault,https://madaluxevault.com/
Made Trade,https://www.madetrade.com
Madewell US,http://www.madewell.com
Mahabis,http://www.mahabis.com
Maison Threads,https://maisonthreads.com/
MANGO,http://www.mango.com
Marshalls,http://www.marshalls.com
Maui Jim,http://www.mauijim.com
Mavette,http://www.mavette.com
